Placement_ID|placement_name|alpha|beta|max_x_val|max_y_val|recommended_weekly_spend|calc_type|n
203335725|INT_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBDISPLAYM3554HHIROT750X1100|9574.8|0.000484548448799|2853.99|7979.0|1461.78|2|5
202235551|BAN_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_M3554HHIROTINTER|9280.41859973|0.000928646700422|4894.65|9280.0|1428.68|0|6
203338425|INT_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBDISPLAYM3554ENTERTAINROT750X1100|9218.4|0.000489189834984|2864.56|7682.0|1390.03|2|4
202240495|BAN_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_M3554ENTERAINROTINTER|8666.25224423|0.00091407029307|4880.76|8548.0|1360.14|0|6
206824008|BAN_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_DISPLAYM3554HHIROTINTER(PKGS1K)|15906.0|0.000184113144957|7783.8|13255.0|1353.39|2|8
202260780|BAN_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_M3554HTTFROTINTER|8377.46989286|0.000798241220649|4901.77|8367.0|1349.07|0|6
203336328|INT_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBDISPLAYM3554HTTFROT750X1100|8982.0|0.000487928697421|2860.37|7485.0|1336.08|2|5
152555391|CSK_CBSSPORTS_DIS_DSK_1X1_1600X1000_DCM_OV_MOS_BEH_NONE_PERS_NONE_NTL_NONE_EVENTDOMALLSPORTSHTTF125|10271.3929023|0.000345793953135|2317.82|10271.0|1289.69|0|8
153230184|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_M3554ENTERTAINROTINTER|7899.59632953|0.000900591946469|3901.74|7443.0|1261.35|0|9
212375508|INT_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_PSBS_BEH_NONE_NONE_NONE_NTL_NONE_INTERSTM3554HHILS(PM718S)|16095.6|0.000175172210871|10228.56|13413.0|1205.19|3|3
206284051|BAN_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_OOL_BEH_NONE_PERS_NONE_NTL_NONE_DISPLAYM3554ETATROTINTER|10004.4|0.000343786353616|5211.84|8337.0|1202.85|3|5
153229044|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_M3554HTTFROTINTER|7388.64723911|0.000880472272375|3884.68|7031.0|1189.01|0|8
153229043|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_M3554HHIROTINTER|7361.95079802|0.000930755721224|3858.96|7036.0|1179.66|0|9
206824899|BAN_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_DISPLAYM3554ETATROTINTER(PKGS1L)|15092.4|0.000186150280272|7545.05|12577.0|1114.44|3|7
203326910|INT_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBDISPLAYF3554HHIROT750X1100|6762.0|0.000724535360856|1897.84|5635.0|1057.73|2|4
203338428|INT_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBDISPLAYF3554ENTERTAINROT750X1100|6529.2|0.000712181542143|1896.4|5441.0|1002.35|2|5
203319944|INT_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBDISPLAYF3554HTTFROT750X1100|6424.8|0.000709713810986|1890.86|5354.0|978.39|2|4
202260783|BAN_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_F3554HHIROTINTER|6099.12494066|0.00144183876394|3264.78|6097.0|934.86|0|5
202243133|BAN_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_F3554ENTERAINROTINTER|5762.57676725|0.00137987985643|3253.2|5678.0|905.29|0|4
202244249|BAN_PANDORA_DIS_MOB_1X1_750X1100_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_F3554HTTFROTINTER|5729.3901521|0.0013928256853|3256.95|5629.0|899.07|0|4
203819622|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_V_AQS_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554HHI|5858.33313695|0.000727394172632|6129.03|5774.0|861.38|0|5
